OYO ID,Review score,Customername,Date,review,Month,Week,AGM,City,display_category,False Positive,Date Addded,ota
ID_ABN001,6.4,hari h.,43827,"Pada saat check-in, kamar masih dalam keadaan berantakan. Setelah menunggu 15 menit kemudian, baru kamar sudah rapi. Tapi sprei masih menggunakan yang bekas orang lain jadi kurang bagus kebersihannya",12,52,marceltambuwun.in@oyorooms.com,Ambon,OYO Hotels,,43832,TraveLoka
ID_ABN001,9.7,Karnia Y. L.,43800,"Sudah sering tinggal disini, sangat nyaman.",12,49,marceltambuwun.in@oyorooms.com,Ambon,OYO Hotels,,43811,TraveLoka
ID_ABN001,7.2,Likke,43828,Location a bit far,12,53,marceltambuwun.in@oyorooms.com,Ambon,OYO Hotels,,43829,Agoda
ID_ABN003,5.7,SITI S. W,43822,"Spreinya kucel, tidak ada termos buat teh panas.",12,52,marceltambuwun.in@oyorooms.com,Ambon,OYO Hotels,,43832,TraveLoka
ID_ABN003,6.3,Leni M. H.,43802,"Ada harga ada rupa ya, cuma koreksinya. Lokasi pinggir jalan dan sangat berisik",12,49,marceltambuwun.in@oyorooms.com,Ambon,OYO Hotels,,43811,TraveLoka
ID_ABN005,6.1,Ahmad T. S.,43810,Kamar kurang dingin WiFi tidak di bagi password resepsionis kurang ramah.,12,50,marceltambuwun.in@oyorooms.com,Ambon,OYO Hotels,,43825,TraveLoka
ID_ABN007,8.8,Irjayatno,43817,"Kamar bersih, murah dan nyaman.",12,51,marceltambuwun.in@oyorooms.com,Ambon,OYO Hotels,,43825,TraveLoka
ID_ABN007,10,eva,43802,"New hotel right in ambon city center . Bnright ew, really clean, and wonderful staff 
 Big room with al the amenities needed, very clean , good wifi and good aircon
 Fantastic relation between price and quality 
 The best option i have tried in Ambon city so far",12,49,marceltambuwun.in@oyorooms.com,Ambon,OYO Hotels,,43808,Agoda
ID_ABN007,8.8,Likke,43820,"New homestay, very clean, good bed, great location with walkable access to public transportation ""angkot""terminal, but no hot water. There are cold beers to sell at reception.",12,51,marceltambuwun.in@oyorooms.com,Ambon,OYO Hotels,,43823,Agoda
ID_ABN007,10,nico,43805,nyaman,12,49,marceltambuwun.in@oyorooms.com,Ambon,OYO Hotels,,43817,Agoda
ID_ABN007,10,nico,43806,interesting and nice friendly and comfortable,12,49,marceltambuwun.in@oyorooms.com,Ambon,OYO Hotels,,43832,Agoda
ID_BAH002,8.8,Ulil,43812,"Cukup bagus, hotelnya juga bersih. 2 hari menginap di hotel ini cukup puas. Layak lah jadi pilihan untuk menginap. Dan yang lebih penting tidak jauh dari masjid raya.",12,50,morissianipar.in@oyorooms.com,Banda Aceh,OYO Hotels,,43815,TraveLoka
ID_BAH002,4.5,jendral n.,43811,Persyaratannya susah. Suami istri kalau tidak ada buku nikah tidak boleh. Kan tidak mungkin orang bepergian nawa buku nikah. Pengalaman terpahit masuk hotel di aceh harus ada bukup nikah. Padahal sudah jelas di ktp tertulis status kawin.,12,50,morissianipar.in@oyorooms.com,Banda Aceh,OYO Hotels,,43815,TraveLoka
ID_BAH002,9.4,Rini P.,43801,The hotel is clean and the staff is friendly. The location is prefect! It is near with traditional market and lots of food vendor. No too far from Masjd Raya and Museum Tsunami.,12,49,morissianipar.in@oyorooms.com,Banda Aceh,OYO Hotels,,43809,TraveLoka
ID_BAH002,8,Ahmed,43801,"SANGAT DEKAT UTK KE MASJID UTK BERIBADAH
 SANGAT DEKAT KE PASAR UTK BELI BARANG2 SEAFOODS KERING
 SANGAT DEKAT KE PASAR2 UTK BELI BELAH BAJU, PAKAIAN
 
 SEMUA JARAK BERJALAN KAKI SAHAJA",12,49,morissianipar.in@oyorooms.com,Banda Aceh,OYO Hotels,,43817,Agoda
ID_BAH004,6,Wahyudin h.,43817,Air panas kamar mandi tidak menyala.,12,51,morissianipar.in@oyorooms.com,Banda Aceh,OYO Hotels,,43825,TraveLoka
ID_BAH004,6.6,ZUBAILI S.,43816,"hotelnya bagus dan harga sesuai tapi banyak bocor ketika hujan, kran air panasnya rusak semoga kedepan diperbaiki agar konsumen puas. sukses selalu",12,51,morissianipar.in@oyorooms.com,Banda Aceh,OYO Hotels,,43825,TraveLoka
ID_BAH004,5.5,Getzinnova,43804,"Kamar kotor, di ujung tempat tidur banyak sarang laba-laba, air kamar mandi keluar pelan.",12,49,morissianipar.in@oyorooms.com,Banda Aceh,OYO Hotels,,43815,TraveLoka
